Task_name,Participant #,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient 1,Gradient 2,Gradient 3
Memory Task,Enter Name Here,-5,2.0,9.0,5.0,10.0,8.0,3.0,2.0,6.0,9.0,8.0,10.0,9.0,3.0,7.0,2.0,7.0,-0.036691414,0.115884583,0.323863964
Memory Task,Enter Name Here,13,7.0,4.0,8.0,7.0,6.0,9.0,2.0,6.0,5.0,6.0,10.0,7.0,2.0,9.0,7.0,2.0,-0.036691414,0.115884583,0.323863964
Memory Task,Enter Name Here,8,3.0,3.0,3.0,4.0,4.0,2.0,6.0,4.0,4.0,5.0,6.0,3.0,9.0,9.0,5.0,10.0,-0.036691414,0.115884583,0.323863964
Reading Task,Enter Name Here,7,5.0,6.0,3.0,6.0,2.0,10.0,2.0,9.0,5.0,10.0,10.0,5.0,9.0,3.0,10.0,4.0,-0.19586954,-0.014883893,0.326889586
Reading Task,Enter Name Here,10,9.0,6.0,6.0,6.0,2.0,8.0,4.0,6.0,7.0,10.0,6.0,7.0,6.0,8.0,3.0,3.0,-0.19586954,-0.014883893,0.326889586
Reading Task,Enter Name Here,6,10.0,4.0,3.0,9.0,8.0,8.0,6.0,5.0,6.0,6.0,10.0,6.0,8.0,5.0,3.0,2.0,-0.19586954,-0.014883893,0.326889586
